supplier,createDate,source,milestoneId,milestoneDescription,businessImpact,remediation
Component Pro,11/16/2020,Assessment,193875,Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process,"Finding #: 1
Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process
Risk Ranking: CAT1 (High)
Recommendation: Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (not to exceed 90 days after GA date). It is also understood that many of these suppliers will be replaced within a year or shortly after with IBM directly selected suppliers for similar functions/capabilities. Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.
",
Consensus,10/9/2020,Questionnaire Response,186550,"Security Information, Event Management and correlation of logs are not monitored","Description of the Finding: Security Information, Event Management and correlation of logs are not monitored. 
Recommendation: Consensus to setup centralized event monitoring process to monitor and respond to the alerts and notifications generated by Security Information and Event Management (SIEM) tool.
Remediation owner: Shaked Vax (svax@us.ibm.com)
Remediation Timeline: 31st December 2020
","Based on the email confirmation by the supplier that ""Consensus has implemented centralized event monitoring process for responding to the alerts and notifications coming from that systems/service provided to IBM"". will be closing this issue. PFA"
Conviva Inc.,12/17/2020,Assessment,203211,IBM Internal Finding - Security Testing of Supplier's Code (Plugin),"Finding #: 1
Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process
Risk Ranking: CAT1 (High)
Recommendation: RBO and Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (estimated Q1 2021). Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.
Support Reference Links:
•	Secure Release Criteria/Board (Blueline)
o	https://w3.ibm.com/w3publisher/blueline/blueline-education/secure-release-criteria
o	https://w3.ibm.com/w3publisher/security-biso-office/system-data-protection/secure-release-board

•	Security & Privacy by Design
o	https://w3.ibm.com/w3publisher/ccs-ciso/security-privacy-by-design
",
Cority Software Inc.,12/18/2020,Assessment,203232, IBM dedicated instance to be setup in Sungard data center located in Chicago post contract sign-off. ," IBM dedicated instance to be setup in Sungard data center located in Chicago post contract
sign-off. 
"," Once infrastructure is setup, supplier will conduct security validation checks (Vulnerability
assessment, Penetration testing) on the IBM dedicated instance and share the reports, and with remediation plan if any critical, high, medium findings and raise new SSRM ticket to re-assess the supplier of the IBM instance of product & service, as a prerequisite for product go-live with IBM"
Cority Software Inc.,12/18/2020,Assessment,203235, Single sign-on (SSO) to be implemented for IBM users to access Cority IBM dedicated instance. ," Single sign-on (SSO) to be implemented for IBM users to access Cority IBM dedicated instance. 
", Deploy & configure SSO service using industry standards like SAML 2.0 or OpenID. Post implementation an evidence should be shared as pre-requisite for this finding close
Crunchy Data Solutions,9/2/2020,Assessment,182020,External Penetration Test Results,"Finding  Executive Summary of external penetration test results was not provided when requested
Risk:  Known and/or emerging vulnerabilities and attack vectors may go undetected resulting in the potential security breach.
","Sent follow-up to Robert Johnson, Jan 5, 2021"
Data Migrators,8/11/2020,Assessment,178971,Penetration Testing,"Data Migrators to perform penetration testing to discover vulnerabilities in systems, system components and services resulting from implementation errors, configuration faults, or other operational deficiencies, and share the testing results with IBM.",
Data Migrators,8/11/2020,Assessment,178978,SDLC Policy,"Data Migrators to formalize, document, approve, and implement Secure SDLC policy.",
Dataguise,5/1/2020,Questionnaire Response,160316,Future Plans to obtain SOC2 TYPE2 Assessment,Future Plans to obtain SOC2 TYPE2 Assessment,SOC is pending and will be completed in Q3 2020. They will send RBO SOC report when completed.
DataStax,11/30/2020,Assessment,197511,Ensure software/code provided by this supplier is tested via IBM's Secure Release Criteria (Blueline) ,Ensure software/code provided by this supplier is tested via IBM's Secure Release Criteria (Blueline) - Pen Test and Scan. Testing results should be shared with SSRM Team and RBO and all future version s/w from supplier is also security tested. ,
DataStax,10/29/2020,Assessment,189794,Penetration Test High Findings,"There are 2 high criticality findings on the most recent penetration test report, DataStax Astra – September 2020 Penetration Test Report that are in Pending Fix status.","Remediate the two (2) high criticality findings in Pending Fix status reported on the most recent penetration test report, DataStax Astra – September 2020 Penetration Test Report and provide update to RBO.
01/06 - Discussed with RBO current over due findings. Email the supplier to inquire on completion of remediation for both findings."
DataStax,10/29/2020,Assessment,189785,"SOC 2, Type II Audit Report","Complete an independent, third-party evaluation of the Supplier’s Information Security controls (e.g. SOC 2, Type II audit) and provide to RBO.","Complete the SOC 2, Type II audit already underway and provide report to RBO."
DevExpress,11/19/2020,Assessment,195763,Supplier solution shall undergo IBM's Secure Release Process (SRC),The offering manager shall follow the Secure Release Process for security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) process.,
"Dolby Laboratories, Inc",12/17/2020,Assessment,203185,SOC 2 Type 2 Report,Obtain and review copy of SOC 2 Type 2 Report at the third quarter,
Elucid Bioimaging Inc.,8/19/2020,Assessment,173287,Disaster Recovery Plan,Supplier to provide evidence of Disaster Recovery Plan Completion/Testing and results.,Provided on Sept 28.  Reviewed the document online via DocSend on Sept 29.  Approved for closure
Epsilon Imaging,10/6/2020,Assessment,185372,Absence of application pen testing,"Risk: Presence of known vulnerabilities and attack vectors that go undetected can lead to likelihood of exploit; There is
greater potential in breach, considering the absence of the vulnerability/application scans (finding#1).
Recommendation: Perform external application penetration testing and provide IBM with executive summary results.",
Epsilon Imaging,10/6/2020,Assessment,185365,Absence of vulnerability testing/application scanning program of the Echoinsight software product,"Risk: consistent Vulnerability scanning or application scanning program should be implemented, considering the service
is based off the software, to provide reasonable security assurance to customers. There is no way to know the inherent
risk in the software product.
Recommendation: Implement a vulnerability test/application scan program of the Echoinsight product, include the
procedures in the IT security policy and share the copy with IBM.",
Epsilon Imaging,10/6/2020,Assessment,185382,Lack of organizational IT Security policies and guidelines,"Risk: The supplier is unable to produce the polices conforming to Information security and the policies that were shared
are outdated.
Recommendation: Document the IT Security policy adequately, keep the organizational policies up to date and share
the copy with IBM.",
Ernst and Young,,Assessment,194910,New IBM Supplier Data Processing Agreement (DPA),Obtain a new IBM Supplier Data Processing Agreement (DPA) using the latest DPA template to capture new data elements being stored.,"2020-11-23: Jeff Norman (IBM Procurement) stated ""we were unsuccessful in getting EY to agree to the new online privacy and security terms as is. We have escalated this matter to our legal team to determine next steps. ""  Following up with Procurement on progress for updated DPA. "
ESRI,1/13/2021,Assessment,206561,Complete Independent Penetration Test,Conduct an independent penetration test and provide test results/remediation activities to RBO,Will include in contract that supplier must comply by YE 2022.
Fenergo,5/8/2020,Assessment,161631,No Infrastructure Vulnerability Management implemented. Plans to implement Qualys by end of Q2 2020.,Supplier has not deployed an Infrastructure Scanning & Secure Configuration solution within their environment.,"Fenergo has retained a Managed Service which is using qRader as part of its SIEM, endpoint solution has been implemented together with Qualys"
Fenergo,5/8/2020,Assessment,161638,No SIEM logging management solution implemented. Plans are to implement Qradar by Q2 2020.,Supplier has not deployed a Security Information and Event Management (SIEM) solution within their environment.,Fenergo should provide evidence of deployed Security Information and Event Management (SIEM) solution within their environment to move from disposition of Conditional Go to Go.
Fenergo,5/8/2020,Assessment,161624,Supplier has not deployed an Endpoint Detection and Response (EDR) solution within their environment.,"No device endpoint management. Plans to implement Microsoft Intune with critical areas (Development, operations) being prioritized over the next few months (March – May 2020), and the entire company by end of Q3 2020.",Recommendation: Fenergo should provide evidence of deployed Endpoint Detection and Response (EDR) solution within their environment to move from disposition of Conditional Go to Go.
FIS,9/22/2020,Assessment,183563, FIS should not use IBM w3 IDs to access the GTS hosting environment,FIS employees will be granted IBM w3 User ID with SSO via VPN behind a limited range of IP addresses,The vendor will not use w3id to access the GTS hosting environment.  IBM is outsourcing the monitoring of some treasury activities to FIS within the FIS application itself.  The only way to log into the FIS application and perform the monitoring activities based on contractual requirement is through W3id.   
FIS,9/22/2020,Assessment,183556,BYOK,FIS Application does not support BYOK.  Management should work with supplier to support BYOK,"The following will be included in the DPA as vendor does not support natively.

Supplier will define and communicate to IBM existing controls to ensure the safety of the encryption keys.  Supplier commits to a regular key rotation for Supplier’s master key, planned every two years. This key rotation will be done during a key ceremony and follows separation of duties as defined in Supplier’s security policies. Supplier will allow IBM to review on an annual basis the encryption key usage and supporting documented procedure of the usage for encryption key management."
GitLab,9/23/2020,Assessment,183635,Provide IBM with a SOC 2 Type 2 Report ,"Complete a third-party evaluation of Information Security control’s operating effectiveness and provide IBM with the report. The Supplier stated, ""We are targeting to achieve SOC2 Type 2 in Q1 of 2021.""",
Glavsoft LLC,11/18/2020,Assessment,194577,Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process,"Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process

Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s
Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance
to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (not to exceed 90 days
after GA date). It is also understood that many of these suppliers will be replaced within a year or shortly after with IBM
directly selected suppliers for similar functions/capabilities. Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.",
GSA Gesellschaft für Softwareentwicklung und Analytik oHG,,Assessment,193743,Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process,"Finding #: 1
Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process
Risk Ranking: CAT1 (High)
Recommendation: Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (not to exceed 90 days after GA date). It is also understood that many of these suppliers will be replaced within a year or shortly after with IBM directly selected suppliers for similar functions/capabilities. Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.
",
Hanzo,12/29/2020,Assessment,204754,"Hanzo to provide SOC 2 Type II report for the testing period Oct 01, 2019 through Sept 30, 2020.","Hanzo to provide SOC 2 Type II report for the testing period Oct 01, 2019, through Sept 30, 2020.

Note: Hanzo is wrapping up this report and expecting it to be released in early 1Q 2021.",
HazelCast,7/10/2020,Assessment,174083,Pentest Remediation Plan,"Provide Remediation Plan for the Pentest Review Report performed by Contex May 24, 2019","Evidence was provided on 10/27/2020 that the one high and two medium vulnerabilities identified, have been remediated"
HazelCast,7/10/2020,Assessment,174069,SOC 2 Type 1 Report,"Provide IBM a copy of SOC 2 Type 1 Report by June 30, 2020","10/21, obtained and reviewed the SOC 2 Type 1 Report"
HazelCast,7/10/2020,Assessment,174076,SOC 2 Type 2 Report,"Provide IBM with a SOC 2 Type 2 Report by October 1, 2020","Sent follow-up to Stephanie Ross, Jan 5, 2021"
Healthcare Bluebook,11/17/2020,Assessment,194254,Penetration Testing,"Healthcare Bluebook to perform penetration testing to discover vulnerabilities in systems, system components and services resulting from implementation errors, configuration faults, or other operational deficiencies, and share the testing results with IBM. Note: IBM solution is being built and will be tested.",
